代號,名稱,年/月,營業利益率,稅後淨利率,每股盈餘,ROE(A)－稅後,速動比率,負債比率,來自營運之現金流量,營收成長率,股利殖利率,現金股利率,普通股每股現金股利（盈餘及公積）,交易所主產業代碼,利息保障倍數,總資產週轉次數,存貨週轉率（次）,平均收帳天數,平均售貨天數
1605,華新,2019/12,3.01,2.81,0.95,4.79,80.11,43.1,"8,627,191",-29.39,3.25,3.25,0.51,M1600,9.47,1,5.22,36.41,69.95
1608,華榮,2019/12,-0.98,9.35,1.87,9.64,75.26,35.71,"79,594",-8.5,6.63,6.63,0.66,M1600,31.41,0.66,2.86,46.27,127.81
1609,大亞,2019/12,1.69,3.22,0.86,7.09,79.3,59.65,"605,594",-2.28,2.63,2.63,0.3,M1600,3.61,0.88,4.73,62.88,77.17
1611,中電,2019/12,-0.63,32.4,1.94,16.24,164.82,22.59,"274,006",0.12,10.81,10.81,1.2,M1600,36.17,0.4,2.79,89.57,130.85
1612,宏泰,2019/12,0.79,5.75,0.64,4.42,168.06,20.28,"-57,608",-9.52,4.59,4.59,0.5,M1600,63.78,0.64,2.86,79,127.49
1614,三洋電,2019/12,5.13,4.8,0.95,4.78,118.96,17.44,"592,835",4.74,2.66,2.66,0.83,M1600,114.95,0.81,3.92,19.53,93.11
1615,大山,2019/12,9.44,7.76,2.18,14.07,114.7,35.35,-910,-6.58,11.2,5.6,1,M1600,59.69,1.2,4.52,60.84,80.72
1616,億泰,2019/12,-2.09,-1.85,-0.31,-3.7,47.49,46.95,"377,268",2.93,0,0,0,M1600,-5.75,1.05,2.82,50.67,129.25
1617,榮星,2019/12,3.21,3.06,0.62,5.15,147.41,38.17,"257,148",-19.53,2.47,2.47,0.3,M1600,13.94,1,8.94,86.76,40.85
1618,合機,2019/12,2.14,2.46,0.28,1.69,326.47,11.27,"-239,555",30.1,3.21,3.21,0.3,M1600,191.67,0.62,3.68,61.33,99.17
1626,艾美特-KY,2019/12,2.86,2.54,2.05,9.38,45.8,66.19,"1,456,592",-4.45,3.42,2.74,0.8,M1600,4.67,1.17,3.88,63.17,93.98
1701,中化,2019/12,4.7,4.83,1.29,6.61,105.37,48.7,"327,513",5.14,4.16,4.16,0.8,M1700,11.13,0.71,2.31,98.47,157.74
1702,南僑,2019/12,9.11,5.52,3.9,15.94,90.22,73.09,"2,539,792",0.31,3.92,3.92,2,M1200,7.1,0.8,5.38,35.44,67.89
1707,葡萄王,2019/12,25.27,20.98,9.63,26.92,86.69,34.23,"2,171,439",0.61,3.33,3.33,6.5,M1700,138.94,0.84,3.02,7.37,120.99
1708,東鹼,2019/12,10.35,6.32,1.3,4.68,64.38,52.83,"650,805",6.75,6.3,3.15,0.8,M1700,2.62,0.35,8.18,43.68,44.61
1709,和益,2019/12,3.45,2.36,0.44,2.82,49.56,35.88,"933,679",-10.1,3.89,3.89,0.5,M1700,11.8,0.78,2.41,46.42,151.44
1710,東聯,2019/12,-4.52,-1.14,0.04,-1.45,47.27,54.63,"-747,297",-30.44,1.43,1.43,0.3,M1700,-0.92,0.61,15.37,24.63,23.74
1711,永光,2019/12,4.33,3.74,0.66,4.35,67.63,40.26,"1,290,380",-3,1.92,1.92,0.3,M1700,5.74,0.68,2.01,67.58,181.68
1712,興農,2019/12,5.18,3.99,1.6,9.64,65.56,53.64,"1,741,948",-5.81,6.84,6.84,1.3,M1700,12.43,1.13,4.38,46.41,83.37
